"Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","Precious Achiuwa","C","22","TOR","38","22","24.7","3.2","7.7",".418","0.3","1.2",".239","2.9","6.5",".452",".437","0.9","1.7",".556","2.3","5.1","7.3","1.2","0.6","0.6","1.0","2.1","7.7"
"2","Steven Adams","C","28","MEM","48","47","25.9","2.5","4.9",".517","0.0","0.0","","2.5","4.9",".517",".517","1.5","2.7",".578","4.3","5.0","9.4","3.0","1.0","0.6","1.6","1.7","6.6"
"3","Bam Adebayo","C","24","MIA","25","25","33.4","6.6","12.9",".514","0.0","0.0",".000","6.6","12.9",".516",".514","4.6","6.0",".765","2.7","7.4","10.1","3.6","1.4","0.6","3.1","3.2","17.8"
"4","Santi Aldama","PF","21","MEM","27","0","10.3","1.4","3.6",".381","0.1","1.4",".103","1.2","2.1",".569",".402","0.4","0.7",".600","0.9","1.5","2.4","0.5","0.1","0.3","0.3","1.0","3.3"
"5","LaMarcus Aldridge","C","36","BRK","36","11","22.9","5.8","10.4",".555","0.3","1.1",".316","5.4","9.3",".582",".571","1.6","1.9",".853","1.5","4.1","5.6","0.9","0.4","1.1","0.9","1.8","13.4"
"6","Nickeil Alexander-Walker","SG","23","NOP","46","19","27.0","4.8","13.0",".371","2.0","6.2",".314","2.8","6.7",".424",".446","1.4","2.0",".733","0.8","2.6","3.4","2.8","0.8","0.3","1.6","1.8","13.0"
"7","Grayson Allen","SG","26","MIL","43","42","28.2","4.1","9.6",".424","2.6","6.7",".392","1.5","3.0",".496",".559","1.1","1.3",".870","0.5","2.9","3.5","1.4","0.8","0.3","0.6","1.5","11.8"
"8","Jarrett Allen","C","23","CLE","42","42","32.8","6.5","9.6",".680","0.0","0.2",".111","6.5","9.4",".693",".681","3.0","4.3",".696","3.4","7.5","10.9","1.9","0.8","1.4","1.8","1.9","16.1"
"9","Jose Alvarado","PG","23","NOP","22","1","11.2","1.5","3.9",".395","0.5","1.6",".314","1.0","2.3",".451",".459","0.5","0.9",".632","0.4","0.8","1.2","1.7","1.2","0.1","0.2","1.3","4.1"
"10","Justin Anderson","SF","28","TOT","6","0","12.8","1.0","3.2",".316","0.5","2.5",".200","0.5","0.7",".750",".395","1.0","1.2",".857","0.3","1.3","1.7","1.5","0.3","0.2","0.5","1.5","3.5"
"10","Justin Anderson","SF","28","CLE","3","0","15.7","1.3","2.7",".500","0.7","2.0",".333","0.7","0.7","1.000",".625","1.0","1.3",".750","0.0","2.0","2.0","2.0","0.3","0.0","0.7","1.3","4.3"
"10","Justin Anderson","SF","28","IND","3","0","10.0","0.7","3.7",".182","0.3","3.0",".111","0.3","0.7",".500",".227","1.0","1.0","1.000","0.7","0.7","1.3","1.0","0.3","0.3","0.3","1.7","2.7"
"11","Kyle Anderson","PF","28","MEM","39","8","22.5","3.2","7.4",".436","0.7","1.9",".351","2.5","5.5",".465",".481","1.0","1.5",".661","0.9","4.4","5.4","2.6","1.1","0.6","1.1","1.5","8.1"
"12","Giannis Antetokounmpo","PF","27","MIL","42","42","32.6","9.9","18.6",".532","1.1","3.9",".282","8.8","14.7",".598",".562","7.9","11.0",".719","1.8","9.4","11.2","5.8","1.0","1.4","3.5","3.3","28.8"
"13","Thanasis Antetokounmpo","SF","29","MIL","31","5","11.0","1.2","2.6",".463","0.0","0.4",".091","1.2","2.3",".521",".470","0.5","0.8",".625","1.0","1.5","2.5","0.6","0.4","0.3","0.6","1.8","3.0"
"14","Carmelo Anthony","PF","37","LAL","48","3","26.8","4.6","10.6",".431","2.3","6.0",".380","2.3","4.6",".498",".538","2.0","2.4",".832","0.8","3.3","4.1","1.0","0.8","0.8","0.9","2.3","13.4"
"15","Cole Anthony","PG","21","ORL","37","37","33.2","6.1","15.5",".391","2.2","6.9",".316","3.9","8.6",".451",".462","3.5","4.1",".837","0.6","5.3","5.9","6.0","0.8","0.3","2.7","2.7","17.8"
"16","OG Anunoby","SF","24","TOR","32","32","37.2","7.1","16.1",".440","2.5","7.3",".343","4.6","8.8",".520",".518","2.3","3.1",".750","1.6","4.0","5.7","2.6","1.7","0.6","1.7","3.0","19.0"
"17","Trevor Ariza","SF","36","LAL","14","6","18.5","1.1","3.5",".327","0.9","2.9",".317","0.2","0.6",".375",".459","0.1","0.3",".500","0.3","2.9","3.2","1.2","0.5","0.2","0.6","0.6","3.4"
"18","D.J. Augustin","PG","34","HOU","34","2","15.0","1.6","4.0",".404","1.1","2.8",".406","0.5","1.2",".400",".548","1.0","1.1",".868","0.2","1.0","1.2","2.2","0.3","0.0","1.3","0.5","5.4"
"19","Deni Avdija","SF","21","WAS","49","6","22.7","2.7","6.2",".444","0.9","2.8",".311","1.9","3.4",".551",".513","1.0","1.4",".729","0.7","4.0","4.7","1.6","0.8","0.6","0.9","2.2","7.4"
"20","Joel Ayayi","SG","21","WAS","7","0","2.9","0.1","0.9",".167","0.0","0.1",".000","0.1","0.7",".200",".167","0.0","0.0","","0.1","0.3","0.4","0.6","0.0","0.0","0.0","0.0","0.3"
"21","Deandre Ayton","C","23","PHO","28","28","29.9","7.3","11.5",".637","0.1","0.3",".250","7.3","11.2",".646",".640","2.0","2.9",".713","2.8","7.8","10.6","1.5","0.8","0.8","1.7","2.2","16.8"
"22","Udoka Azubuike","C","22","UTA","9","1","6.2","0.7","1.0",".667","0.0","0.0","","0.7","1.0",".667",".667","0.2","0.4",".500","0.2","1.1","1.3","0.0","0.1","0.4","0.6","0.7","1.6"
"23","Marvin Bagley III","PF","22","SAC","30","17","21.9","3.8","8.2",".463","0.5","2.1",".242","3.3","6.1",".538",".494","1.2","1.6",".745","2.2","4.9","7.2","0.6","0.3","0.4","0.7","1.7","9.3"
